EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;997;0;8;0;0;0;0;91609;1,98333;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;16030;317;16906;0;0;33027300;29895900;2838190;2544130;772159;193960;104;31529700;0;0;17709;1521840;299,083;145020
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBRP;RIBEIRÃO PRETO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;547;8;88;0;0;1391300;1093450;135994;92240;31455;7996;4;175912;0;0;696;68032;12,2667;5031
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSG;SÃO GONÇALO DO AMARANTE;RN;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;294;6;846;40;0;92916;78498;9540;6599;3531;1335;5;225882;10680;0;348;35740;5,08333;1828
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSG;SÃO GONÇALO DO AMARANTE;RN;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;7080;235;22371;85;0;2178450;1890360;222355;162135;87882;29637;111;5973060;22695;0;8159;832991;114,55;54080
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSL;SÃO LUÍS;MA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;5331;73;27494;0;0;8863380;7195190;820860;630188;210911;51643;43;33020300;0;0;7380;683499;83,9;42173
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;67;0;0;0;0;;;;;;;;;;;;;;995
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;16428;337;19804;621;0;38315600;34975200;3934360;2966420;879573;221416;104;42162700;1322110;0;17997;1848010;340,383;141460
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSR;SÃO JOSÉ DO RIO PRETO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;521;4;130;0;0;1461600;1094100;145755;92217;32255;8400;4;273000;0;0;696;69408;12,4667;4709
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;4499;1298;2;0;0;0;0;0;3,15;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;11294;213;26904;10;0;10154300;7329810;1031500;608899;309537;65549;101;17460700;6490;0;15646;1589440;138,033;64328
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBTE;TERESINA;PI;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;259;0;559;0;0;643719;242683;63139;20667;15953;3748;4;523783;0;0;687;67386;6,38333;2075
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBTE;TERESINA;PI;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;5588;34;26468;1;0;8039460;5235960;760983;455901;199070;46850;50;24800500;937;0;8580;812177;82,15;41010
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBUL;UBERLÂNDIA;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;507;0;86;0;0;1300820;947583;126070;79125;29218;7476;4;160734;0;0;696;67454;11,35;4226
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;9439;101;3826;0;0;10584800;9037790;870711;719150;282554;62176;67;3550530;0;0;11406;938302;118,483;38785
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;1924;375;1;0;0;0;0;0;0,866667;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;10937;383;10077;154;0;5310000;4101380;389546;335410;278104;45000;120;3778880;57750;0;14160;1038940;119,917;64225
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCP;CAMPOS DOS GOYTACAZES;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;320;6;0;0;0;;;;;;;;;;;;;;2124
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;7681;130;2432;9;0;5864980;5192360;521212;416222;167384;34476;51;1644030;6084;0;8676;771059;70,05;37245
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;2494;27;1650;0;0;5962920;3940520;410829;330376;142870;34760;22;2607000;0;0;3774;260023;56,4833;20405
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBFL;FLORIANÓPOLIS;SC;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;320;2;77;0;0;256623;242240;21718;19576;6944;1514;2;58289;0;0;339;28691;2,88333;1784
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBFL;FLORIANÓPOLIS;SC;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;3269;43;334;1;0;3009080;2741850;266832;220273;83802;18168;24;252838;757;0;3975;352497;35,0333;16268
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBGO;GOIÂNIA;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;5542;59;3533;160;0;6919730;5226110;568401;425459;180559;40549;43;3331620;150880;0;7338;602779;73,6833;32018
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;3367;686;2;0;0;0;0;0;2,51667;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;1001;34;498;52;0;454212;407407;38798;33068;18443;6919;17;202686;21164;0;1116;95349;24,8333;5697
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;17325;931;21525;1746;0;9310940;7078140;693573;584452;491864;78551;193;8760680;710622;0;22877;1704340;214,25;110058
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBME;MACAÉ;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;265;17;790;207;0;186202;91845;15053;7619;8607;2669;17;124030;32499;0;1186;95942;12,8333;1795
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBPA;PORTO ALEGRE;RS;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;155;2;23;0;0;194880;173600;16386;14148;4464;1120;1;25760;0;0;174;14631;1,76667;985
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBPA;PORTO ALEGRE;RS;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;9707;278;4044;30;0;13288800;10871800;1086430;891234;338098;78400;70;4529280;33600;0;11865;970061;135,75;63706
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBPS;PORTO SEGURO;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;170;3;25;0;0;145638;142290;12562;11712;3420;837;1;20925;0;0;174;15009;1,41667;1218
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBPS;PORTO SEGURO;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;605;3;0;0;0;559953;506385;47631;42231;14422;3348;4;0;0;0;669;56909;6,03333;5082
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;7119;1865;1;0;0;0;0;0;2,68333;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;14105;261;20151;7;0;33435700;26305800;2596290;2212720;725623;195825;105;37581600;13055;0;17928;1392140;279,817;108448
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;311;0;2;0;0;0;0;22450;0,45;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;2411;366;1;0;0;0;0;0;1,01667;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;16523;509;5359;51;0;7967090;6023260;577406;475453;427694;67344;184;1961390;18666;0;21768;1577860;183,483;59997
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;164;2;39;0;0;212976;200736;17470;16432;4753;1224;1;47736;0;0;174;14273;1,88333;1086
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;7133;66;5564;0;0;10931500;9181220;899861;748236;246105;63648;52;6810340;0;0;8931;735204;98,45;40688
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBVT;VITÓRIA;ES;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;2336;20;1055;265;0;1282420;976448;90702;76543;57797;10868;26;440990;110770;0;3068;217027;25,85;6891
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRP;RIBEIRÃO PRETO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;1041;27;116;0;0;656844;448671;64934;36447;22201;9482;22;49996;0;0;1524;150683;29,65;6395
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRP;RIBEIRÃO PRETO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;1725;436;2;0;0;0;0;0;2,36667;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRP;RIBEIRÃO PRETO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;4513;244;8442;170;0;1272250;983834;130506;83359;57260;17876;82;1840360;37060;0;5836;598842;78,2333;35634
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRP;RIBEIRÃO PRETO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBMO;RIO LARGO;AL;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;652;12;8;0;0;1267420;1187290;137786;96499;26575;7284;4;14568;0;0;696;75666;10,3;4085
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRP;RIBEIRÃO PRETO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBPS;PORTO SEGURO;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;569;2;48;0;0;705126;599726;76073;48703;16730;4216;4;50592;0;0;669;72177;6,7;3487
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRP;RIBEIRÃO PRETO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;586;3;36;0;0;1391300;1171410;153058;97238;30006;7996;4;71964;0;0;696;76569;11,4833;4658
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBRP;RIBEIRÃO PRETO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBSR;SÃO JOSÉ DO RIO PRETO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;457;173;1;0;0;0;0;0;0,683333;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSG;SÃO GONÇALO DO AMARANTE;RN;NORDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;465;4;134;0;0;849600;837000;82608;70758;28315;7200;4;241200;0;0;472;45894;10,75;4302
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSG;SÃO GONÇALO DO AMARANTE;RN;NORDESTE;BRASIL;AMÉRICA DO SUL;SBFN;FERNANDO DE NORONHA;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;0;0;0;0;0;3967;0;2168;389;1;0;0;0;0;10199;0,966667;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSG;SÃO GONÇALO DO AMARANTE;RN;NORDESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;3936;71;6845;65;0;9505890;9216720;1009490;790991;205328;55080;24;15709300;149175;0;4142;439871;82,6167;35941
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSG;SÃO GONÇALO DO AMARANTE;RN;NORDESTE;BRASIL;AMÉRICA DO SUL;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;692;267;1;0;0;0;0;0;0,966667;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSG;SÃO GONÇALO DO AMARANTE;RN;NORDESTE;BRASIL;AMÉRICA DO SUL;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;297;8;0;0;0;92382;79299;9746;6584;3442;1335;5;0;0;0;346;36515;4,83333;2395
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSG;SÃO GONÇALO DO AMARANTE;RN;NORDESTE;BRASIL;AMÉRICA DO SUL;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;6958;194;10580;17;0;2129860;1857790;221707;159601;77838;29103;109;2824860;4539;0;7977;830580;102,267;65533
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSG;SÃO GONÇALO DO AMARANTE;RN;NORDESTE;BRASIL;AMÉRICA DO SUL;SBUL;UBERLÂNDIA;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;517;3;33;0;0;1403830;1042790;142138;85642;31803;8068;4;66561;0;0;696;70471;12,2167;3653
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSI;SINOP;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;2506;48;2707;160;0;1397590;1060040;118551;88323;66173;11844;28;1145060;67680;0;3304;280295;27,8333;18174
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSI;SINOP;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;1435;17;1945;0;0;3085570;2189810;271394;185493;59839;22890;15;2968070;0;0;2022;177852;36,5;11989
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSL;SÃO LUÍS;MA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;672;4;124;0;0;489510;329280;51891;27449;14882;2940;6;60760;0;0;999;105904;6,65;5501
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSL;SÃO LUÍS;MA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;7202;77;5793;189;0;16219300;13647800;1748900;1167670;363617;94750;50;10977700;358155;0;8559;922913;140,15;70253
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSL;SÃO LUÍS;MA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBIZ;IMPERATRIZ;MA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;1451;7;1808;0;0;1668880;1023840;159939;83032;49020;9700;20;876880;0;0;3441;329792;21,3333;5343
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSL;SÃO LUÍS;MA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;5005;63;2148;0;0;8888600;7057080;992548;586221;205725;51643;43;2579750;0;0;7401;826452;81,75;39768
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSM;SANTA MARIA;RS;SUL;BRASIL;AMÉRICA DO SUL;SBPA;PORTO ALEGRE;RS;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;977;20;938;0;0;308700;239365;29673;19989;11428;4410;18;229810;0;0;1260;121149;15,4667;7413
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;0;0;0;0;0;0;0;8137;0;3269;710;1;0;0;0;0;11461;1,4;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;3297;38;12186;6;0;3515920;2425360;352379;209429;123223;26270;37;8652060;4260;0;4952;496337;51,65;25668
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;11;0;0;0;0;197414;18403;1539;1626;6540;1673;1;0;0;0;118;920;2,5;147
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;9114;2245;1;0;0;0;0;0;3,5;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;29;0;0;0;0;264910;65105;25566;5789;8360;2245;1;0;0;0;118;11388;3,16667;404
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;2;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;1603;15;4686;0;0;1807050;1380620;169120;118920;77318;15314;26;2760050;0;0;3068;287154;32,35;13708
